Index,Date,Classification,CityCode,ExtractedLocation,Text
2908,2020-08-25,Other,"USA.NY.Ithaca","","RT @NYSIPM https://t.co/KQGKlKu86p Did you miss the announcement? Use one of the shortened links to find our ThinkIPMBlog post regarding the new status of this #invasive species in NY #SLF #IPM #spottedlanternfly @ccecornell @NortheastIPM @NYSDEC @nyagandmarkets https://t.co/l4QJkogc0U"
2909,2020-08-25,Other,"USA.NY.Ithaca","","Development of Behaviorally Based Monitoring and Biosurveillance Tools for the Invasive Spotted Lanternfly (Hemiptera: Fulgoridae) https://t.co/1xOI0zqSMK"
2910,2020-08-25,Other,"","","@ChrisOttoLNP @LancasterOnline How is it that GOP legislators do more to combat the spotted lanternfly than Covid?"
2911,2020-08-25,Other,"USA.NY.New York","","Spotted Lanternfly, an Invasive Pest, Seen (and Squashed) in Downtown Westfield https://t.co/YvXQ57LyEd"
2912,2020-08-25,Other,"USA.NY.New York","South Jersey, Camden","This year, the spotted lanternfly seems to have fully established itself in densely populated South Jersey counties like Camden, Gloucester, and Burlington. https://t.co/HM1PJJi3K9"
2913,2020-08-25,Other,"USA.PA.Philadelphia","","@SilverGreg78 Tread in fear spotted lantern fly"
2914,2020-08-25,Spread/Sighting,"","","I did not realize the spotted lanternfly attacked grapes. This pest is devastating vineyards in the north east. https://t.co/izp1CnT2gK"
2915,2020-08-25,Other,"","","Tips for fighting spotted lanternfly."
2916,2020-08-25,Other,"","","@squarewav Spotted lanternflies 🤢"
2917,2020-08-25,Other,"","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2918,2020-08-25,Other,"","","@FisherJillian @rrrebel Holy 🤬 I think that’s a spotted lanternfly... which isn’t good https://t.co/icm2LCoqAJ"
2919,2020-08-25,Other,"","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2920,2020-08-25,Other,"","","RT @NJLCV Take action this week: ☑️ Register to vote ASAP 💰 Watch @GovMurphy’s budget address on Tuesday ❌ Kill every spotted lanternfly you see https://t.co/xBFWxS3d0v"
2921,2020-08-25,Other,"","","@JeanClithero @MadSCWT Yep, spotted lantern fly! #PalsPorch"
2922,2020-08-25,Other,"","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2923,2020-08-25,Other,"","","i’m scared of the spotted lanternfly 🥺"
2924,2020-08-25,Other,"ARG.Mendoza.Mendoza","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2925,2020-08-25,Spread/Sighting,"","DC","I just saw my first DC-area spotted lanternfly (I think, although it was far away so I can't be sure) They've arrived."
2926,2020-08-25,Other,"USA.PA.Philadelphia","","@JoJoFromJerz Just feel lucky you don’t spotted lantern flies."
2927,2020-08-25,Other,"","","Joe brought these home to his wife from CHI. NA https://t.co/CZAL4BTrTS"
2928,2020-08-25,Other,"USA.NY.New York","","RT @PAAgriculture Happy Saturday! This is what a #SpottedLanternfly looks like as it molts. There are a million reasons to treat these on your property, but… not having to see THIS tops our list. Thanks to Jaeson Han for this amazing, disgusting video! Treatment tips: https://t.co/3zCxJtVEyi https://t.co/kNp0mfXPPe"
2929,2020-08-25,Other,"","","What is the Spotted Lantern Fly? Learn more about it, how to report it, and about other invasive species at: https://t.co/0s7ZcFJS0g https://t.co/ME5k3tb4pz"
2930,2020-08-25,Other,"USA.NY.New York","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2931,2020-08-25,Other,"","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2932,2020-08-25,Other,"","","The sexual tension between my croc and the spotted lantern fly on my front door 👁👄👁"
2933,2020-08-25,Other,"","","The Spotted Lanternfly: 10 Tips to Fight the Infestation https://t.co/C0l6Nf7fl6"
2934,2020-08-25,Other,"","N.J.","RT @JrzyJoePiscopo #WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2935,2020-08-25,Other,"USA.NY.New York","N.J.","#WhatAreTheseThings !? The dangerous spotted lanternfly has now spread to 7 N.J. counties. ‘If you see it, kill it.’ https://t.co/FOTnshduho"
2936,2020-08-25,Other,"","","according to a study published by Penn State economists in 2019, which also included a worst-case scenario of $554 million lost per year. https://t.co/8IAKm6CPh7 via https://t.co/v5Jj21ykvV #invasivespecies"
2937,2020-08-25,Other,"USA.PA.Philadelphia","Philadelphia","RT @mr_saltz I have clear evidence that the mean streets of Philadelphia have bread a stronger, faster, smarter breed of Spotted Lantern Fly. They will have developed the ability to call WIP by Thanksgiving. I take no pleasure in reporting this"
2938,2020-08-25,Other,"","","@lsarsour You are a spotted lantern fly - Do you know how we treat the chinese bug ? #crushthebug"
2939,2020-08-25,Other,"USA.OH.Defiance","","Spot the Spot – Ohioans Encouraged to Look for the Spotted Lanternfly https://t.co/l2bQKXPgGz"
2940,2020-08-25,Other,"","","RT @ZackStrickland Make sure you kill a spotted lanternfly today"
2941,2020-08-25,Other,"USA.PA.Philadelphia","Philadelphia","RT @mr_saltz I have clear evidence that the mean streets of Philadelphia have bread a stronger, faster, smarter breed of Spotted Lantern Fly. They will have developed the ability to call WIP by Thanksgiving. I take no pleasure in reporting this"
2942,2020-08-25,Other,"USA.PA.Philadelphia","Philadelphia","I have clear evidence that the mean streets of Philadelphia have bread a stronger, faster, smarter breed of Spotted Lantern Fly. They will have developed the ability to call WIP by Thanksgiving. I take no pleasure in reporting this"
2943,2020-08-25,Other,"","","5 Things to Know About the Spotted Lantern Fly https://t.co/btn2RrqqTY"
2944,2020-08-25,Other,"","","Yeah your man might have a normal number of nipples but can he 5 foot step and slap a Spotted Lanternfly clean out of the air"
2945,2020-08-25,Spread/Sighting,"USA.DE.Dover","New Castle County","TheStateNews: Spotted lanternfly concerns spur quarantine in New Castle County https://t.co/zJYbM0ANXj"
2946,2020-08-25,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2947,2020-08-25,Other,"USA.PA.Philadelphia","","RT @lukehoban7 @AOC Republicans are spotted lanternflies"
2948,2020-08-25,Other,"USA.PA.Philadelphia","","@AOC Republicans are spotted lanternflies"
2949,2020-08-25,Other,"USA.CA.Los Angeles","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2950,2020-08-25,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2951,2020-08-25,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2952,2020-08-25,Other,"USA.MA.Springfield","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2953,2020-08-25,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2954,2020-08-25,Other,"","","PA. Peeps.. are we still supposed to be reporting it when we see spotted lantern flies?"
2955,2020-08-25,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2956,2020-08-25,Other,"USA.NY.New York","New Jersey","The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/bJZdETdeg6"
2957,2020-08-25,Other,"USA.NY.New York","","RT @NJLCV Take action this week: ☑️ Register to vote ASAP 💰 Watch @GovMurphy’s budget address on Tuesday ❌ Kill every spotted lanternfly you see https://t.co/xBFWxS3d0v"
2958,2020-08-25,Other,"USA.NY.New York","","RT @NJLCV Take action this week: ☑️ Register to vote ASAP 💰 Watch @GovMurphy’s budget address on Tuesday ❌ Kill every spotted lanternfly you see https://t.co/xBFWxS3d0v"
2959,2020-08-25,Other,"","","They are playing with a spotted lanternfly INSIDE my apartment and I don't know whether to cry or scream or laugh or be proud of them (I hate bugs, and I hate killing and/or touching them...😳🤢) https://t.co/30LLtZpic1"
2960,2020-08-25,Other,"","","These spotted lantern flies are blowing me"
2961,2020-08-25,Other,"USA.PA.Philadelphia","","@SheilaABaker I'm watching a huge spider preparing two spotted lantern flies for his dinner. It's an apt theme for the Republican party. https://t.co/8MZwhv1Frz"
2962,2020-08-25,Spread/Sighting,"USA.PA.Philadelphia","","I killed a dozen spotted lantern flies today - when will I receive my nature award?"
2963,2020-08-25,Other,"","","RT @NJLCV Take action this week: ☑️ Register to vote ASAP 💰 Watch @GovMurphy’s budget address on Tuesday ❌ Kill every spotted lanternfly you see https://t.co/xBFWxS3d0v"
2964,2020-08-25,Other,"USA.NJ.Trenton","","Take action this week: ☑️ Register to vote ASAP 💰 Watch @GovMurphy’s budget address on Tuesday ❌ Kill every spotted lanternfly you see https://t.co/xBFWxS3d0v"
2965,2020-08-25,Other,"","","RT @RaritanHWaters Sucking the sap from over 70 different plant species, the Spotted Lantern Fly is mayhem. This invasive destructive pest is causing environmental and economical damage. It doesn’t directly kill the host plant but it… https://t.co/VVvjr8WSwJ"
2966,2020-08-24,Other,"","","Sucking the sap from over 70 different plant species, the Spotted Lantern Fly is mayhem. This invasive destructive pest is causing environmental and economical damage. It doesn’t directly kill the host plant but it… https://t.co/VVvjr8WSwJ"
2967,2020-08-24,Other,"USA.PA.Philadelphia","US","RT @MRHelmus I was so lucky to be interviewed by the @nytimes! Thanks to @aznfusion for a great story that put the spotted lanternfly invasion into the broader context of funding cuts to US invasive species preparedness and biosecurity. https://t.co/XzREV28vK7 #spottedlanternfly"
2968,2020-08-24,Other,"","","@ddale8 Every time I kill a spotted lantern fly, I congratulate myself for killing thousands!"
2969,2020-08-24,Other,"","","can’t hang on the porch without bringing a shoe to kill the spotted lanternflies"
2970,2020-08-24,Other,"","","these spotted lanternflies need to chill the f out, they just out here landing on me when they want to...i mean seriously THE DISRESPECT"
2971,2020-08-24,Other,"","","ideal date: killing spotted lantern flies together"
2972,2020-08-24,Other,"","","Well, it seems one can learn about something new at *any* age--witness the spotted lanternfly, encountered for the first time today. https://t.co/FhF3ZyV5xR"
2973,2020-08-24,Other,"","","I am absolutely not too proud to have a complete meltdown in the Giant parking lot over spotted lantern flies"
2974,2020-08-24,Other,"USA.PA.Philadelphia","","These spotted lantern flies bold asf"
2975,2020-08-24,Other,"USA.PA.Philadelphia","","The soles on my sandals are now officially made of 80% spotted lanternfly guts."
2976,2020-08-24,Other,"","New Castle County https://t.co/leDmdqx0s9","Spotted lanternfly concerns spur quarantine in New Castle County https://t.co/leDmdqx0s9"
2977,2020-08-24,Other,"","","RT @CST_TempleU Passionate about 'squishing' the spotted lanternfly? That's CST's Prof. Matt Helmus in @nytimes https://t.co/QJ2F8VVbp6 @TempleUniv @TempleCis @ManhartLab @TUBioSociety @TempleTUCS @TempleTUYA @Valentine_Lab @TempleAlumni https://t.co/iTtTMDpoqo"
2978,2020-08-24,Other,"USA.NC.Raleigh","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
2979,2020-08-24,Other,"","","What is my Township/community doing about this? Spotted Lanternfly Management for Residents https://t.co/WdiGphuMWP"
2980,2020-08-24,Other,"","","RT @PAAgriculture Happy Saturday! This is what a #SpottedLanternfly looks like as it molts. There are a million reasons to treat these on your property, but… not having to see THIS tops our list. Thanks to Jaeson Han for this amazing, disgusting video! Treatment tips: https://t.co/3zCxJtVEyi https://t.co/kNp0mfXPPe"
2981,2020-08-24,Other,"USA.PA.Philadelphia","Pennsylvania","@LondonCRiver Speaking of massive aggressive bugs... Where I'm at in Pennsylvania, our region is being under attack by something called the Spotted Lanternfly. They have six bionic-like legs & can jump across a room. Oh, and they watch to see you coming. Ugh."
2982,2020-08-24,Other,"","","These spotted lantern flies are the real pandemic"
2983,2020-08-24,Other,"USA.NC.Raleigh","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
2984,2020-08-24,Other,"USA.WI.Milwaukee","","RT @PAAgriculture Happy Saturday! This is what a #SpottedLanternfly looks like as it molts. There are a million reasons to treat these on your property, but… not having to see THIS tops our list. Thanks to Jaeson Han for this amazing, disgusting video! Treatment tips: https://t.co/3zCxJtVEyi https://t.co/kNp0mfXPPe"
2985,2020-08-24,Other,"","","Praying Mantises (yes, this is the correct plural noun of “praying mantis”) EAT spotted lantern flies. NOT ALL HEROES WEAR CAPES! #PrayingMantis2020"
2986,2020-08-24,Other,"USA.NY.New York","NJ","Found my first spotted lanternfly in NJ, an invasive species from Asia. #lanternfly #spottedlanternfly #nj https://t.co/zTWZeExyAr"
2987,2020-08-24,Other,"USA.DE.Wilmington","","RT @ZackStrickland Make sure you kill a spotted lanternfly today"
2988,2020-08-24,Other,"","","RT @ZackStrickland Make sure you kill a spotted lanternfly today"
2989,2020-08-24,Spread/Sighting,"","","Today I saw my first Spotted Lantern Flies. Today I killed my first Spotted Lantern Flies. https://t.co/cl3mHgD0Kt"
2990,2020-08-24,Other,"","","Make sure you kill a spotted lanternfly today"
2991,2020-08-24,Other,"","New Jersey","New Jersey counties are under quarantine for another reason: Invasive bugs https://t.co/iqPwno9jWB"
2992,2020-08-24,Spread/Sighting,"USA.PA.Philadelphia","","My dad called to tell me he was attacked by a spotted lantern fly and I can’t stop laughing 😂😂😂"
2993,2020-08-24,Other,"USA.MD.Baltimore","MD, PA","Spotted Lanternflies are not dangerous to people, but terrible for agricultural crops (including vineyards!) and already in MD and PA! https://t.co/GAveld9I7j"
2994,2020-08-24,Other,"USA.PA.Allentown","Pennsylvania","RT @PAWines Swoop in and help the local wine industry just by stomping on a few bugs.🦸🏻‍♀️➡️ https://t.co/TXNkXBBr1M #PAWine #PAWineLand #Pennsylvania #PA #PAWines #DrinkLocal #ShopLocal #SupportLocal #BuyLocal #PAWinery #PAWineries #SpottedLanternfly"
2995,2020-08-24,Other,"USA.FL.Orlando","New Jersey","Double quarantine? Be grateful you're not in New Jersey right now... https://t.co/RhmkMxEUIj"
2996,2020-08-24,Other,"","New Jersey","Double quarantine? Be grateful you're not in New Jersey right now... https://t.co/Bx1GvDcj7w"
2997,2020-08-24,Other,"USA.TX.Houston","New Jersey","Double quarantine? Be grateful you're not in New Jersey right now... https://t.co/hItKdZYLWQ"
2998,2020-08-24,Other,"","","Spotted Lantern Fly: Steps of Management https://t.co/BRXKRqkVXa"
2999,2020-08-24,Spread/Sighting,"USA.NJ.Trenton","","SLF Response! Our Stewardship Department has been hard at work, combating the invasive spotted lanternfly. Here we are seen eliminating their preferred host, Tree of Heaven (Ailanthus), and creating 'trap trees,'… https://t.co/xxmDtXw3ze"
3000,2020-08-24,Other,"","","the spotted lantern flies have Returned"
3001,2020-08-24,Other,"USA.PA.Philadelphia","PA","@Bertonemyia @DominicDReisig @NCExtension The stink bugs were brutal on soy here in PA when I worked Ag, but a few extremely cold winters really kneecapped their populations for a few years. But alas, now spotted lanternfly"
3002,2020-08-24,Other,"","","Squash those spotted lanternflies."
3003,2020-08-24,Other,"","Pennsylvania","Swoop in and help the local wine industry just by stomping on a few bugs.🦸🏻‍♀️➡️ https://t.co/TXNkXBBr1M #PAWine #PAWineLand #Pennsylvania #PA #PAWines #DrinkLocal #ShopLocal #SupportLocal #BuyLocal #PAWinery #PAWineries #SpottedLanternfly"
3004,2020-08-24,Other,"GBR.West Midlands.Birmingham","","Development of Behaviorally Based Monitoring and Biosurveillance Tools for the Invasive Spotted Lanternfly (Hemiptera: Fulgoridae) https://t.co/dMZRabKU1K"
3005,2020-08-24,Other,"","","The invasive, but oh so pretty, spotted lanternfly. https://t.co/AZM1CETpBm"
3006,2020-08-24,Other,"USA.PA.Philadelphia","","One less spotted lantern fly in the world. You're welcome. #SLF #spottedlanternfly #SLFPatrol #KillsBugsDead @ Elkins Park https://t.co/3ZjTWBKtm4"
3007,2020-08-24,Other,"","","someone has to do something about these spotted lanternflies before i do..."
3008,2020-08-24,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3009,2020-08-24,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3010,2020-08-24,Other,"USA.DC.Washington, DC","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3011,2020-08-24,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3012,2020-08-24,Other,"","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3013,2020-08-24,Other,"LBY.Benghazi.Banghazi","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3014,2020-08-24,Other,"","","Calling All PA Wine Lovers: Join the Fight Against the Spotted Lanternfly."
3015,2020-08-24,Other,"USA.NY.New York","New Jersey","The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/SE39FGmRho"
3016,2020-08-24,Other,"USA.PA.Philadelphia","","I would follow a twitter account of Spotted Lanternflies crawling in weird or notable and historic places."
3017,2020-08-24,Other,"USA.NY.New York","New Jersey","RT @NYTScience The battle against the invasive spotted lanternfly -- which poses serious danger to crops and trees -- starts in the backyard. New Jersey has been monitoring its spread through several counties.  https://t.co/AC3l3m78cW"
3018,2020-08-24,Other,"USA.NY.New York","","Plagues of beetles, spotted lanternflies and Asian longhorned ticks are wiping out forests, crops and livestock around the world 🐜 🐞 🐛#PlaguesofInsects https://t.co/o8lS9506u8"
3019,2020-08-24,Other,"","","Finally figured out where part of my houses Spotted Lanternfly infestation seems to be coming from... and there’s quite a few of them"
3020,2019-10-23,Other,"USA.PA.Philadelphia","","This is probably the most important story we'll publish on @philaneighbors this year. https://t.co/iRPLjATkP3"
3021,2019-10-23,Other,"","","What if spotted lantern flies carry the cure for a major disease and they don’t want anyone to know so they’re forcing us all to burn & kill them all https://t.co/bP9vXF3hjC"
3022,2019-10-23,Other,"","","Help combat the Spotted Lanternfly by scraping their egg masses into a plastic bag or cup filled with alcohol or hand sanitizer. Spotted Lanternflies can lay their eggs anywhere, including lawn furniture and firewood but they seem to gravitate towards trees with smooth bark. https://t.co/5GA8A2rdsH"
3023,2019-10-23,Other,"USA.PA.Philadelphia","","@PaulHRosenberg @LOLGOP Spotted LanternFly Invasion 51% tRump 40% Miscellaneous Plagues 9% https://t.co/eStiOGZ0xv"
3024,2019-10-23,Other,"","DVSFairs","Even a middle school student with a great idea can get a patent! Rachel is a #DVSF nominee to BroadcomMASTERS national competition, where she will compete for the top prizes this weekend. #DVSFairs #USCIENCES https://t.co/2MTIcqSKAv"
3025,2019-10-23,Other,"USA.DC.Washington, DC","","Truckers advised to watch for invasive spotted lanternfly https://t.co/fmRJzcvINS #trucking"
3026,2019-10-23,Other,"USA.PA.Allentown","","News: Information on Spotted Lantern Fly https://t.co/fxBFj1EjUY"
3027,2019-10-23,Other,"","","Squash it, smash it...just get rid of it. In the fall, Spotted Lanternflies will lay egg masses with 30-50 eggs each. Visit https://t.co/ZomtDx5qnx for more information. View the #Checklist for residents living in Spotted Lanternfly quarantine area. #Tips #BordentownTwp https://t.co/dpN3XbaFdK"
3028,2019-10-23,Other,"","Manhattan","RT @NYRP The invasive Spotted Lanternfly seen in northern Manhattan! If you are out enjoying our parks and gardens, be on the look-out and report sightings to @NYSDEC. https://t.co/O5OKsETcLx https://t.co/8UHZhv4q0y"
3029,2019-10-23,Other,"USA.NY.New York","Manhattan","The invasive Spotted Lanternfly seen in northern Manhattan! If you are out enjoying our parks and gardens, be on the look-out and report sightings to @NYSDEC. https://t.co/aYhlejoNJA"
3030,2019-10-23,Other,"USA.NY.New York","Manhattan","The invasive Spotted Lanternfly seen in northern Manhattan! If you are out enjoying our parks and gardens, be on the look-out and report sightings to @NYSDEC. https://t.co/O5OKsETcLx https://t.co/8UHZhv4q0y"
3031,2019-10-23,Other,"USA.PA.Philadelphia","North Wales","👻🎃 Just in time for Halloween! 😂North Wales filmmaker creates spotted lanternfly horror video as a public service announcement https://t.co/GwnlZ5U3Ag by @mercuryx"
3032,2019-10-23,Other,"USA.PA.Philadelphia","","Local Teen Receives Patent, Several Awards for Creative Spotted Lanternfly Trap https://t.co/HYidBjap63 by @ParkesburgToday #SLF #spottedlanternfly #badbug"
3033,2019-10-23,Other,"","","@lubrind @antmasiello Here’s another idea. It’s just staggering what these insects have done and will continue to do. https://t.co/BQzQ3rNPgp"
3034,2019-10-23,Other,"","","@lubrind @antmasiello https://t.co/fUs32tKEn5 Here’s one idea that has recently surfaced."
3035,2019-10-23,Other,"USA.PA.Philadelphia","","This should probably be in every NextDoor forum around the city. 'Environment: Philadelphia Fights Back Against Spotted Lanternfly' https://t.co/iRPLjBaWdD https://t.co/vRFWCAOl4d"
3036,2019-10-23,Other,"","","RT @restonnature We are worried about the invasive Spotted Lanternfly coming to Reston. If you find one here, please put it in a ziplock bag and bring it to the Nature Center. https://t.co/D4TvkpcEqV"
3037,2019-10-23,Other,"USA.PA.Philadelphia","","Time to make a stand and stomp out the spotted lanternfly deadlanternfly #igrowhort https://t.co/n5GtP3yjLT"
3038,2019-10-23,Other,"USA.PA.Philadelphia","","Spotted Lanternfly Info for Homeowners https://t.co/Oa4KjkwNSm"
3039,2019-10-22,Other,"","","Truckers advised to watch for spotted lanternfly."
3040,2019-10-22,Other,"USA.PA.Philadelphia","","Is the spotted lanternfly harmful to pets? https://t.co/Tq59iZFRgV @CBSPhilly @6abc https://t.co/vPXBaCXgPM"
3041,2019-10-22,Other,"","","Spotted Lantern fly Massacre horror short film. I don't like killing things but these are destructive to plants and trees. So you should stomp on a lanternfly if you see one. https://t.co/9cSjmUZZ83"
3042,2019-10-22,Other,"USA.DC.Washington, DC","","RT @StephenSchatz The spotted lanternfly is a threat to many fruit crops and trees. Learn how to spot it and report it. https://t.co/QSj4SGLnGH via @USDA_APHIS @HungryPests https://t.co/znguI1yn3l"
3043,2019-10-22,Other,"","China","The #SpottedLanternfly has entered the green oasis of our yard. Our yard has a large Ailanthus altissima, or Tree-of-heaven. While the Spotted Lanternfly arrived from China over 200 years after Ailanthus, it's its preferred tree. Help stop the SLF: https://t.co/neo8tuceoS https://t.co/xbJezCABVb"
3044,2019-10-22,Other,"","Pennsylvania","Spotted lanternfly is causing big problems in Pennsylvania."
3045,2019-10-22,Other,"","","@lubrind Beth just sent me this: https://t.co/7ZScch9lEp"
3046,2019-10-22,Other,"USA.NH.Manchester","","Spectacularly beautiful but nonetheless, harmful, spotted lanternflies provide yet another challenge in the never-ending battle with invasive species. Check out the updated Spotted Lanternfly article in this month's edition of the TCI Magazine here: https://t.co/83E1x8GV8L"
3047,2019-10-22,Other,"","","The spotted lanternfly is a threat to many fruit crops and trees. Learn how to spot it and report it. https://t.co/QSj4SGLnGH via @USDA_APHIS @HungryPests https://t.co/znguI1yn3l"
3048,2019-10-22,Other,"USA.PA.Philadelphia","","RT @thephillyvoice After two weeks of spraying, the number of live lanternflies in areas treated with the fungus were about half of the number in the control areas. https://t.co/FQRxMVN6RQ"
3049,2019-10-22,Other,"USA.PA.Philadelphia","","RT @SenatorCollett Halloween costume idea: Spotted Lanternfly Hunter. Local photographer Mike Allebach made a spoof horror video as a creative PSA about these pests. 👻 It's a spooky reminder to squash Lanternflies when you see them. 👀 https://t.co/WtVhqT01lF"
3050,2019-10-22,Other,"","","Halloween costume idea: Spotted Lanternfly Hunter. Local photographer Mike Allebach made a spoof horror video as a creative PSA about these pests. 👻 It's a spooky reminder to squash Lanternflies when you see them. 👀 https://t.co/WtVhqT01lF"
3051,2019-10-22,Spread/Sighting,"USA.PA.Philadelphia","","I saw a Grandma take her shoe off and beat a spotted lantern fly to death today. 😂 She did not come to play."
3052,2019-10-22,Other,"USA.PA.Philadelphia","","Where will the spotted lanternfly strike next? https://t.co/OfV98Fg2pD by @pennlive #SLF #spottedlanternfly #badbug"
3053,2019-10-22,Other,"USA.MD.Baltimore","","Check out this interesting article from UMD Extension's Home and Garden Info Center on Spotted Lanternfly Info and Resources! https://t.co/nOSGXYrh9I. https://t.co/98K3cboQ5L"
3054,2019-10-22,Other,"","","sarnt won’t stop sending me snaps of him lighting spotted lantern flies on fire with a blowtorch"
3055,2019-10-22,Other,"","","Spotted Lanternfly spotted in CT for the first time! https://t.co/khDfXmCNWc"
3056,2019-10-22,Other,"USA.PA.Philadelphia","","Truckers Advised to Watch for Invasive Spotted Lanternfly https://t.co/T6KUwd5BVJ by @TransportTopics #SLF #spottedlanternfly #badbug"
3057,2019-10-22,Other,"","","Truckers Advised to Watch for Invasive Spotted Lanternfly https://t.co/MvLhAAATYx"
3058,2019-10-22,Other,"IRL.Dublin.Dublin","Ohio, Michigan","Now the entomological battle stations in #Ohio and #Michigan and across the rest of the Midwest are bracing for a confrontation with the latest in this ghastly parade of #invasivespecies from the phylum Arthropoda — the spotted #lanternfly https://t.co/o8Vr5BFmKG"
3059,2019-10-22,Other,"","Pennsylvania","Be on the lookout for the Spotted Lanternfly at Pennsylvania campgrounds: https://t.co/efFsT598ui For more information, visit the PA Department of Agriculture here: https://t.co/X5ZFodgtF2"
3060,2019-10-22,Other,"USA.GA.Atlanta","Pennsylvania","Hordes of spotted lanternflies are flapping through Pennsylvania, threatening agriculture. “Kill it!” a state website blares by way of advice to residents who encounter the flies. “Squash it, smash it … just get rid of it.” https://t.co/859Y8LfhwM"
3061,2019-10-22,Other,"","","RT @authorrochelle Spotted Lantern Fly: Horrendous new pest (PA and NJ) goes after vineyards and especially 'Tree of Heaven' plants. We have them all over our Porcelain Berry vine. Sad to say the praying mantis ignored it—stepped on it, in fact! https://t.co/XTNhFCUwbL"
3062,2019-10-22,Other,"","","Local Teen Receives Patent, Several Awards for Creative Spotted Lanternfly Trap https://t.co/bHSHeuaNKo"
